TOA5	Carl_WS	CR1000	17273	CR1000.Std.15	CPU:COBS_SW8Aport5.cr1	27157	Daily																				
TIMESTAMP	RECORD	Batt_Volt_Min	PTemp_C_Max	PTemp_C_Min	Rain_in_Tot	SlrW_Avg	SlrW_Max	SlrW_TMx	SlrMJ_Tot	AirTF_Max	AirTF_TMx	AirTF_Min	AirTF_TMn	AirTF_Avg	RH_Max	RH_TMx	RH_Min	RH_TMn	WS_mph_Max	WS_mph_TMx	WS_mph_S_WVT	WindDir_D1_WVT	T107_F_Max	T107_F_TMx	T107_F_Min	T107_F_TMn	T107_F_Avg
TS	RN	Volts	Deg C	Deg C	inch	W/m�	W/m�	W/m�	MJ/m�	Deg F	Deg F	Deg F	Deg F	Deg F	%	%	%	%	miles/hour	miles/hour	miles/hour	Deg	Deg F	Deg F	Deg F	Deg F	Deg F
		Min	Max	Min	Tot	Avg	Max	TMx	Tot	Max	TMx	Min	TMn	Avg	Max	TMx	Min	TMn	Max	TMx	WVc	WVc	Max	TMx	Min	TMn	Avg
9/2/2016 0:00	184	11.6	28.1	10.52	0.01	252.2	1032	9/1/2016 11:51	21.78766	76.69	9/1/2016 12:56	50.64	9/1/2016 5:46	62.79	116.4	9/1/2016 2:09	42.22	9/1/2016 15:17	14.09	9/1/2016 14:07	4.472	47.49	70.61	9/1/2016 0:05	68.38	9/1/2016 10:01	69.33
9/3/2016 0:00	185	11.79	27.06	8.79	0	252.9	1063	9/2/2016 12:09	21.85315	74.86	9/2/2016 15:45	48.52	9/2/2016 4:35	62.25	116.8	9/2/2016 5:58	43.41	9/2/2016 14:41	12.8	9/2/2016 15:08	3.585	107.5	69.24	9/2/2016 0:02	67.02	9/2/2016 10:30	68.09
9/4/2016 0:00	186	11.86	26.87	13.02	0	197.4	1167	9/3/2016 11:53	17.05258	76.08	9/3/2016 16:01	55.44	9/3/2016 5:43	64.41	114	9/3/2016 5:25	47.84	9/3/2016 16:02	17.6	9/3/2016 11:56	4.64	142.9	68.4	9/3/2016 0:00	67.05	9/3/2016 11:03	67.8
9/5/2016 0:00	187	11.74	29.05	14.95	0	167.3	1153	9/4/2016 12:17	14.45711	79.65	9/4/2016 14:25	58.71	9/4/2016 5:33	67.55	111.1	9/4/2016 3:28	51.12	9/4/2016 14:24	17.91	9/4/2016 13:32	5.897	140.9	68.64	9/4/2016 21:08	67.15	9/4/2016 11:10	67.88
9/6/2016 0:00	188	11.7	33.4	18.2	0	221.5	864	9/5/2016 12:37	19.13553	88.2	9/5/2016 13:46	64.24	9/5/2016 5:19	76.29	85.4	9/5/2016 5:23	53.71	9/5/2016 13:07	22.42	9/5/2016 13:13	7.849	167	70.78	9/5/2016 23:30	67.81	9/5/2016 8:42	68.99
9/7/2016 0:00	189	11.91	34.96	23.21	0	224	946	9/6/2016 13:16	19.35543	90.5	9/6/2016 14:28	72.63	9/6/2016 3:10	81	91.8	9/6/2016 3:16	50.13	9/6/2016 15:13	19.33	9/6/2016 13:38	7.57	189.9	73.07	9/6/2016 21:22	70.51	9/6/2016 8:42	71.55
9/8/2016 0:00	190	11.78	25.1	21.31	1.95	47.88	258.1	9/7/2016 10:20	4.136649	76.4	9/7/2016 3:40	68.56	9/7/2016 23:02	72.54	117.2	9/7/2016 21:58	75.56	9/7/2016 3:39	19.4	9/7/2016 22:09	4.615	162.1	72.99	9/7/2016 0:22	71.3	9/8/2016 0:00	72.22
9/9/2016 0:00	191	11.65	32.44	19.6	0.01	246.1	995	9/8/2016 13:29	21.26509	84.7	9/8/2016 15:08	65.52	9/8/2016 21:21	72.49	117.6	9/8/2016 7:31	25.81	9/8/2016 14:12	10.92	9/8/2016 11:22	2.902	16.65	72.12	9/8/2016 19:52	70.86	9/8/2016 10:00	71.46
9/10/2016 0:00	192	11.65	29.25	17.92	0.22	83.4	1068	9/9/2016 12:20	7.207765	80.5	9/9/2016 13:29	61.94	9/9/2016 23:59	69.33	117.3	9/9/2016 4:03	60.66	9/9/2016 14:12	24.94	9/9/2016 14:11	4.848	211.9	71.79	9/9/2016 0:00	70.99	9/9/2016 23:48	71.33
9/11/2016 0:00	193	11.36	25.16	9.97	0	236	961	9/10/2016 13:02	20.39301	72.92	9/10/2016 14:45	51.19	9/10/2016 23:50	61.18	110.3	9/10/2016 6:08	36.21	9/10/2016 14:49	20.34	9/10/2016 12:29	6.965	293.6	71	9/10/2016 0:08	68.46	9/10/2016 23:57	69.55
